PRICES
PRICE_PROD_NUM;CURRENCY_CODE;PRICE_B2B_ID;AMOUNT;PROD_NAME;PROD_COST_PRICE;PROD_RETAIL_PRICE;UNIT_PRICE;AVANCE;SPECIAL_OFFER_PRICE;PRICE_PERIOD_ID;LANGUAGE_ID
"055090080B143";"DKK";"0";"1";"El-motor 0,55kw  80-6 B14 400V";"415,00";"988,10";"988,10";"0,00";"0,00";"";"26"
"075280080B143";"DKK";"0";"1";"El-motor 0,75kw  80-2 B14 400V";"427,50";"1017,86";"1017,86";"0,00";"0,00";"";"26"
